speaker,utterance,emotion
patient,This is taking way too long!,angry
dentist,I understand let's take a look.,neutral
patient,Is the X-ray going to take long?,neutral
dentist,I am going to check the depth of the pocket now.,neutral
patient,How long will the numbness last?,neutral
dentist,Let's see if we can adjust the bite.,neutral
patient,You call this professional work?,angry
dentist,I'll discuss the payment options with you after.,neutral
patient,I'm about to go to a different clinic if this continues.,angry
dentist,I'll make a note of that in your chart.,neutral
patient,I noticed some bleeding when I floss.,neutral
dentist,Let's see if we can adjust the bite.,neutral
patient,I have been feeling some pressure here.,neutral
dentist,I understand let's take a look.,neutral
patient,When did you say the next appointment was?,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,That price is insane for a simple cleaning.,angry
dentist,We are doing our best to stay on schedule.,neutral
patient,It doesn't hurt when I bite down.,neutral
dentist,I understand let's take a look.,neutral
patient,Is the X-ray going to take long?,neutral
dentist,Please open your mouth as wide as possible.,neutral
patient,I'll take the prescription to the pharmacy.,neutral
dentist,I am going to check the depth of the pocket now.,neutral
patient,I'm about to go to a different clinic if this continues.,angry
dentist,The X-ray will only take a moment.,neutral
patient,My insurance changed recently.,neutral
dentist,You might feel a bit of pressure.,neutral
patient,My insurance changed recently.,neutral
dentist,I'll make a note of that in your chart.,neutral
patient,Is the X-ray going to take long?,neutral
patient,I've been waiting forever this is unprofessional.,angry
dentist,You might feel a bit of pressure.,neutral
patient,I have been feeling some pressure here.,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,I am not paying for a mistake you made.,angry
dentist,I am applying the numbing agent now.,neutral
patient,I'm about to go to a different clinic if this continues.,angry
dentist,I am applying the numbing agent now.,neutral
patient,I have been feeling some pressure here.,neutral
dentist,It's important to keep the area clean.,neutral
patient,I try to brush twice a day like you said.,neutral
dentist,I am applying the numbing agent now.,neutral
patient,I try to brush twice a day like you said.,neutral
dentist,Please open your mouth as wide as possible.,neutral
patient,You told me this wouldn't hurt!,angry
dentist,It's important to keep the area clean.,neutral
patient,Should I open wider?,neutral
dentist,You might feel a bit of pressure.,neutral
patient,I am not paying for a mistake you made.,angry
dentist,Please open your mouth as wide as possible.,neutral
patient,It doesn't hurt when I bite down.,neutral
dentist,We are doing our best to stay on schedule.,neutral
patient,Is the X-ray going to take long?,neutral
dentist,It's important to keep the area clean.,neutral
patient,I'm about to go to a different clinic if this continues.,angry
dentist,You might feel a bit of pressure.,neutral
patient,You call this professional work?,angry
dentist,I'll discuss the payment options with you after.,neutral
patient,I noticed some bleeding when I floss.,neutral
dentist,It's important to keep the area clean.,neutral
patient,I noticed some bleeding when I floss.,neutral
dentist,We are doing our best to stay on schedule.,neutral
patient,I noticed some bleeding when I floss.,neutral
dentist,Let's see if we can adjust the bite.,neutral
patient,Do I need to come back next week?,neutral
dentist,I am applying the numbing agent now.,neutral
patient,I have been feeling some pressure here.,neutral
dentist,I'll make a note of that in your chart.,neutral
patient,My insurance changed recently.,neutral
dentist,Let's see if we can adjust the bite.,neutral
patient,I try to brush twice a day like you said.,neutral
dentist,It's important to keep the area clean.,neutral
patient,I'll take the prescription to the pharmacy.,neutral
dentist,Let's see if we can adjust the bite.,neutral
patient,Do I need to come back next week?,neutral
dentist,You might feel a bit of pressure.,neutral
patient,My insurance changed recently.,neutral
dentist,The X-ray will only take a moment.,neutral
patient,I'll take the prescription to the pharmacy.,neutral
dentist,We are doing our best to stay on schedule.,neutral
patient,This is taking way too long!,angry
dentist,We are doing our best to stay on schedule.,neutral
patient,Should I open wider?,neutral
dentist,The X-ray will only take a moment.,neutral
patient,I am not paying for a mistake you made.,angry
dentist,Please open your mouth as wide as possible.,neutral
patient,I'm about to go to a different clinic if this continues.,angry
dentist,It's important to keep the area clean.,neutral
patient,I noticed some bleeding when I floss.,neutral
dentist,Please open your mouth as wide as possible.,neutral
patient,Should I open wider?,neutral
dentist,The X-ray will only take a moment.,neutral
patient,I can feel the cold water on my teeth.,neutral
dentist,I'll make a note of that in your chart.,neutral
patient,Is the X-ray going to take long?,neutral
dentist,Please open your mouth as wide as possible.,neutral
patient,My insurance changed recently.,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,I've been waiting for an hour this is ridiculous.,angry
dentist,Please open your mouth as wide as possible.,neutral
patient,It doesn't hurt when I bite down.,neutral
dentist,It's important to keep the area clean.,neutral
patient,Do I need to come back next week?,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,I noticed some bleeding when I floss.,neutral
dentist,Let's see if we can adjust the bite.,neutral
patient,This is unacceptable.,angry
dentist,We are doing our best to stay on schedule.,neutral
patient,It doesn't hurt when I bite down.,neutral
dentist,The X-ray will only take a moment.,neutral
patient,I am not paying for a mistake you made.,angry
dentist,I'll discuss the payment options with you after.,neutral
patient,How long will the numbness last?,neutral
dentist,I am applying the numbing agent now.,neutral
patient,I can feel the cold water on my teeth.,neutral
dentist,Please open your mouth as wide as possible.,neutral
patient,My insurance changed recently.,neutral
dentist,The X-ray will only take a moment.,neutral
patient,When did you say the next appointment was?,neutral
dentist,We want to ensure your dental health is the priority.,neutral
patient,How long will the numbness last?,neutral
dentist,I understand let's take a look.,neutral
patient,Do I need to come back next week?,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,How long will the numbness last?,neutral
dentist,It's important to keep the area clean.,neutral
patient,Should I open wider?,neutral
dentist,I understand let's take a look.,neutral
patient,It doesn't hurt when I bite down.,neutral
dentist,It's important to keep the area clean.,neutral
patient,You told me this wouldn't hurt!,angry
dentist,Let's see if we can adjust the bite.,neutral
patient,My insurance changed recently.,neutral
dentist,I understand let's take a look.,neutral
patient,Why wasn't I told about this charge earlier?,angry
dentist,It's important to keep the area clean.,neutral
patient,Do I need to come back next week?,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,It doesn't hurt when I bite down.,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,I noticed some bleeding when I floss.,neutral
dentist,I am going to check the depth of the pocket now.,neutral
patient,Do I need to come back next week?,neutral
dentist,The X-ray will only take a moment.,neutral
patient,I am extremely unhappy with this service.,angry
dentist,Please open your mouth as wide as possible.,neutral
patient,I can feel the cold water on my teeth.,neutral
dentist,It's important to keep the area clean.,neutral
patient,I can feel the cold water on my teeth.,neutral
dentist,It's important to keep the area clean.,neutral
patient,I'll take the prescription to the pharmacy.,neutral
dentist,Please open your mouth as wide as possible.,neutral
patient,Should I open wider?,neutral
dentist,The X-ray will only take a moment.,neutral
patient,Is the X-ray going to take long?,neutral
dentist,I understand let's take a look.,neutral
patient,I noticed some bleeding when I floss.,neutral
dentist,You might feel a bit of pressure.,neutral
patient,I noticed some bleeding when I floss.,neutral
dentist,I am applying the numbing agent now.,neutral
patient,It doesn't hurt when I bite down.,neutral
dentist,I'll make a note of that in your chart.,neutral
patient,I have been feeling some pressure here.,neutral
dentist,We are doing our best to stay on schedule.,neutral
patient,That price is insane for a simple cleaning.,angry
dentist,It's important to keep the area clean.,neutral
patient,When did you say the next appointment was?,neutral
dentist,I am applying the numbing agent now.,neutral
patient,Should I open wider?,neutral
dentist,We want to ensure your dental health is the priority.,neutral
patient,Do I need to come back next week?,neutral
dentist,It's important to keep the area clean.,neutral
patient,I try to brush twice a day like you said.,neutral
dentist,We want to ensure your dental health is the priority.,neutral
patient,I've been waiting for an hour this is ridiculous.,angry
dentist,I understand let's take a look.,neutral
patient,Is the X-ray going to take long?,neutral
dentist,I'll make a note of that in your chart.,neutral
patient,My insurance changed recently.,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,Should I open wider?,neutral
dentist,I am going to check the depth of the pocket now.,neutral
patient,It doesn't hurt when I bite down.,neutral
dentist,You might feel a bit of pressure.,neutral
patient,When did you say the next appointment was?,neutral
dentist,Please open your mouth as wide as possible.,neutral
patient,Is the X-ray going to take long?,neutral
dentist,It's important to keep the area clean.,neutral
patient,Do I need to come back next week?,neutral
dentist,It's important to keep the area clean.,neutral
patient,Should I open wider?,neutral
dentist,Let's see if we can adjust the bite.,neutral
patient,I have been feeling some pressure here.,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,My insurance changed recently.,neutral
dentist,I am going to check the depth of the pocket now.,neutral
patient,I try to brush twice a day like you said.,neutral
dentist,Please open your mouth as wide as possible.,neutral
patient,How long will the numbness last?,neutral
dentist,I am going to check the depth of the pocket now.,neutral
patient,I'll take the prescription to the pharmacy.,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,I have been feeling some pressure here.,neutral
dentist,I am going to check the depth of the pocket now.,neutral
patient,Do I need to come back next week?,neutral
dentist,The X-ray will only take a moment.,neutral
patient,When did you say the next appointment was?,neutral
dentist,You might feel a bit of pressure.,neutral
patient,It doesn't hurt when I bite down.,neutral
dentist,The X-ray will only take a moment.,neutral
patient,I'll take the prescription to the pharmacy.,neutral
dentist,We are doing our best to stay on schedule.,neutral
patient,I have been feeling some pressure here.,neutral
dentist,Please open your mouth as wide as possible.,neutral
patient,I noticed some bleeding when I floss.,neutral
dentist,Let's see if we can adjust the bite.,neutral
patient,Do I need to come back next week?,neutral
dentist,I am applying the numbing agent now.,neutral
patient,I'll take the prescription to the pharmacy.,neutral
dentist,I'll make a note of that in your chart.,neutral
patient,This is the third time I've had to come back for the same tooth!,angry
dentist,You might feel a bit of pressure.,neutral
patient,It doesn't hurt when I bite down.,neutral
dentist,We want to ensure your dental health is the priority.,neutral
patient,I have been feeling some pressure here.,neutral
dentist,We want to ensure your dental health is the priority.,neutral
patient,I can feel the cold water on my teeth.,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,I try to brush twice a day like you said.,neutral
dentist,The X-ray will only take a moment.,neutral
patient,Is the X-ray going to take long?,neutral
dentist,We want to ensure your dental health is the priority.,neutral
patient,I'll take the prescription to the pharmacy.,neutral
dentist,We want to ensure your dental health is the priority.,neutral
patient,You call this professional work?,angry
dentist,Let's see if we can adjust the bite.,neutral
patient,I have been feeling some pressure here.,neutral
dentist,Let's see if we can adjust the bite.,neutral
patient,Do I need to come back next week?,neutral
dentist,I am applying the numbing agent now.,neutral
patient,I noticed some bleeding when I floss.,neutral
dentist,I understand let's take a look.,neutral
patient,I've been waiting for an hour this is ridiculous.,angry
dentist,The X-ray will only take a moment.,neutral
patient,When did you say the next appointment was?,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,I'm about to go to a different clinic if this continues.,angry
dentist,We are doing our best to stay on schedule.,neutral
patient,I'll take the prescription to the pharmacy.,neutral
dentist,I'll make a note of that in your chart.,neutral
patient,Should I open wider?,neutral
dentist,It's important to keep the area clean.,neutral
patient,That price is insane for a simple cleaning.,angry
dentist,Please open your mouth as wide as possible.,neutral
patient,Is the X-ray going to take long?,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,Hi doctor. I haven't been here in four years and honestly my mouth feels disgusting lately.,disgust
dentist,Hello! I'm glad you came in. Let's do a full check-up and see what we're working with.,neutral
patient,I can feel something crusty along my gumline and it's been making me feel sick just touching it with my tongue.,disgust
dentist,That sounds like significant tartar buildup. Open wide so I can take a look.,neutral
patient,There's also this horrible taste every morning. Like something is rotting in there.,disgust
dentist,That taste is usually a sign of bacterial activity. Let me examine each section carefully.,neutral
patient,I keep brushing harder but nothing changes and I feel gross all the time.,disgust
dentist,Brushing harder won't remove tartar once it hardens. Only professional cleaning can do that.,neutral
patient,How bad does it look in there?,neutral
dentist,I can see very heavy calculus deposits on the lower front teeth and along the upper gumline. It's quite extensive.,neutral
patient,Oh God. That's revolting. I can't believe I let it get this bad.,disgust
dentist,It's fixable. Let me take X-rays first so I have a complete picture.,neutral
patient,Four years of gunk sitting on my teeth. I feel disgusted with myself.,disgust
dentist,Please don't be too hard on yourself. Busy lives lead to skipped appointments. You're here now.,neutral
patient,What exactly is that crusty stuff made of?,neutral
dentist,Calculus is hardened plaque. mineralized bacteria mixed with calcium from your saliva.,neutral
patient,Mineralized bacteria. That's what's been in my mouth this whole time. That makes me feel ill.,disgust
dentist,I understand the reaction. Once we remove it it's completely gone. Ready for X-rays?,neutral
patient,Yes. Let's just get this over with. I can't stand knowing it's there.,disgust
dentist,The X-rays show some bone loss around the lower molars. That's consistent with the tartar extent I see.,neutral
patient,Bone loss too? This just keeps getting worse.,neutral
dentist,It's early-stage. Completely manageable with a deep clean and better home care going forward.,neutral
patient,I'm almost embarrassed to open my mouth. I hate that I let it go this far.,disgust
dentist,We'll fix it together. I'll use the ultrasonic scaler to break up the heavy deposits first.,neutral
patient,Will it hurt?,neutral
dentist,We'll use local anesthetic. You'll feel vibration but no pain.,neutral
patient,Okay. Just please get all that disgusting buildup off.,disgust
dentist,I'm going to work quadrant by quadrant. Starting on the lower right.,neutral
patient,The noise is awful but knowing what's coming off almost makes it better.,neutral
dentist,You're doing well. I can already see significant improvement on the surface.,neutral
patient,Can I see what's been removed? I almost want to look.,neutral
dentist,Here. these are some of the larger calculus chunks I removed.,neutral
patient,That came out of my mouth. That thick brown stuff. I want to gag.,disgust
dentist,That's the result of years of mineral accumulation. The tissue underneath looks healthy.,neutral
patient,Healthy underneath all that filth. I can hardly believe it.,disgust
dentist,Moving to the lower left now. You're handling this really well.,neutral
patient,I keep thinking about how long I've been living with that in my mouth and I feel physically sick.,disgust
dentist,Let's redirect that feeling into motivation for your home care routine going forward.,neutral
patient,Believe me I'll be flossing every single night after this.,neutral
dentist,That's exactly what I want to hear. Upper right section now.,neutral
patient,The taste in my mouth right now during the cleaning is horrible.,disgust
dentist,That's the bacteria and debris being released. We're rinsing continuously.,neutral
patient,I feel like I need to apologize to my own mouth for what I let happen to it.,disgust
dentist,Your gum tissue is actually responding well. The redness is already reducing in treated areas.,neutral
patient,Good. Because I genuinely feel repulsed every time I think about the state it was in.,disgust
dentist,Final quadrant. upper left. Almost done.,neutral
patient,Thank goodness. How does everything look now?,neutral
dentist,Dramatically better. The calculus is cleared. I'll do a polish to finish.,neutral
patient,I'm relieved but also still disgusted that it got to that point. I'll never skip visits again.,disgust
dentist,That's the best outcome from today's visit. Polishing now. mint or bubblegum flavor?,neutral
patient,Mint please. I need something to overpower whatever that smell was.,disgust
dentist,Done. Take a look in the mirror.,neutral
patient,Oh wow. That is so much better. They actually look like real teeth again.,neutral
dentist,They always were real teeth. Just buried under buildup. Come back in three months.,neutral
patient,Three months. Absolutely. I never want to feel this disgusting about my own mouth again.,disgust
dentist,We'll make sure you don't. Here's a prescription rinse to use this week.,neutral
patient,Thank you. I feel clean for the first time in years.,neutral
dentist,That's the goal. See you in three months.,neutral
patient,Hi doctor. Food keeps getting stuck between my back teeth after every meal and there's a horrible smell when it comes out.,disgust
dentist,That combination tells me a lot. How long has this been happening?,neutral
patient,About six months. I use a toothpick every meal but the smell when I dislodge it is revolting.,disgust
dentist,That rotting smell is bacteria breaking down the trapped food. Open wide.,neutral
patient,I've been so grossed out by my own mouth. I dread eating because I know what comes after.,disgust
dentist,I can see a gap between the lower right second and third molars. The gum is inflamed.,neutral
patient,There's definitely something wrong there. It never used to trap food like this.,neutral
dentist,Let me take an X-ray of that area specifically.,neutral
patient,Please. I want to know what's creating the gap.,neutral
dentist,The X-ray shows interproximal decay on the second molar. the side wall facing the gap.,neutral
patient,Decay on the wall between the teeth. Is that why food gets stuck?,neutral
dentist,Yes. The cavity has created an irregular surface and opened a space that traps food.,neutral
patient,So decay created a pocket that's been collecting food debris for six months.,disgust
dentist,And that debris is what's producing the smell when you dislodge it.,neutral
patient,Rotting food accumulating in a cavity-created pocket. I feel genuinely ill thinking about it.,disgust
dentist,The fix is a filling that restores the proper contour and closes the gap.,neutral
patient,How much decay is there?,neutral
dentist,Moderate. The cavity is significant on the contact surface. Let me see how it looks when I open it.,neutral
patient,Can you check if anything is already in the pocket right now?,neutral
dentist,I can irrigate the area. You'll taste the rinse.,neutral
patient,Okay.,neutral
dentist,Quite a lot of debris in the pocket. Flushing it now.,neutral
patient,I can feel the pressure. Is it bad?,neutral
dentist,More compacted than expected. Food has been packing deeply around the cavity margins.,neutral
patient,Food compressed deep into a rotting hole between my teeth for months. That's disgusting.,disgust
dentist,It's out now. The area is clean. Shall I begin the filling?,neutral
patient,Yes. Please fix the wall so this never happens again.,neutral
dentist,Administering anesthetic to the lower right.,neutral
patient,While you wait can I ask. could I have prevented this?,neutral
dentist,Interproximal cavities are notoriously hard to prevent. Flossing helps but doesn't guarantee it.,neutral
patient,I do floss. Not perfectly but I try.,neutral
dentist,You may have just been unlucky with the anatomy of that contact point.,neutral
patient,Some comfort in that. Still disgusting that it was happening for months.,disgust
dentist,Numb? Feel this?,neutral
patient,Nothing. Go ahead.,neutral
dentist,Opening the cavity now. I can see the decay on the contact wall. quite brown and soft.,neutral
patient,Brown and soft cavity on the side of my tooth. Where all that food was packing.,disgust
dentist,Removing the decay now. The good news is the inner tooth structure looks healthy.,neutral
patient,That's good. Get every bit of the brown stuff out.,neutral
dentist,All decay removed. Clean margins. Placing the matrix band to rebuild the contact wall.,neutral
patient,Will the filling restore the wall completely?,neutral
dentist,Yes. The matrix creates a proper contoured surface. Food will no longer pack in.,neutral
patient,Six months of that revolting smell every meal and it'll just be gone.,disgust
dentist,That's the goal. Applying the bonding agent.,neutral
patient,What's that for?,neutral
dentist,It prepares the clean tooth surface to bond with the composite resin.,neutral
patient,I see. Seal everything shut.,neutral
dentist,Placing the composite now. Building the wall layer by layer.,neutral
patient,I can smell the composite. That's fine compared to what I've been smelling for six months.,disgust
dentist,Good perspective. Curing now with the light.,neutral
patient,Done?,neutral
dentist,Cured. I'll remove the matrix and check the contact.,neutral
patient,How does it look?,neutral
dentist,Excellent contact restored. The gap is closed. Let me floss through it.,neutral
patient,How does the floss go through?,neutral
dentist,It passes with appropriate resistance. tight but not stuck. That's the right contact.,neutral
patient,Can I eat tonight without the whole nightmare happening again?,neutral
dentist,Avoid very hot or cold for two hours. After that eat normally.,neutral
patient,Normal eating. No more food trapping. No more revolting smell after meals.,disgust
dentist,That's the outcome. Come back in six months for a check.,neutral
patient,I will. Thank you so much. This has made every meal unpleasant for half a year.,neutral
dentist,You should notice the difference with your very first meal. Take care.,neutral
patient,I'm actually looking forward to dinner tonight for the first time in months.,neutral
dentist,Good. See you in six months.,neutral
patient,I had a tooth out four days ago and the pain is getting worse not better. And the smell is revolting.,disgust
dentist,That combination strongly suggests dry socket. Did the blood clot look normal after the extraction?,neutral
patient,I looked at it yesterday and there was nothing there. Just a dark empty hole.,neutral
dentist,That confirms it. The clot has been lost and the socket is exposed. Come in right away.,neutral
patient,The smell is so bad I can taste it constantly. Like something is decaying in there.,disgust
dentist,Open wide. Let me look at the extraction site.,neutral
patient,I'm mortified even letting you near it with how it smells.,disgust
dentist,I've seen hundreds of dry sockets. The smell doesn't bother me at all.,neutral
patient,There is exposed bone in there isn't there. I can see into it in the mirror.,neutral
dentist,Yes. The socket is clearly visible and bone is exposed. I can also see food debris in the cavity.,neutral
patient,Food has been collecting in an exposed bone socket in my mouth for days. That is revolting.,disgust
dentist,That accumulation contributes significantly to the odor.,neutral
patient,I've been breathing food-contaminated bone smell for two days. I feel sick about it.,disgust
dentist,I'll irrigate thoroughly first then pack the socket with medicated dressing.,neutral
patient,Please. Anything to stop this. What went wrong?.,neutral
dentist,Did you use a straw or smoke in the first 48 hours?,neutral
patient,I used a straw on day two. I didn't realize I wasn't supposed to.,neutral
dentist,The suction dislodges the clot. That's almost certainly the cause.,neutral
patient,I dislodged my own healing clot with a straw and now I have exposed rotting bone.,disgust
dentist,The bone isn't rotting. it's just exposed. But the debris in there needs to be removed.,neutral
patient,What kind of debris exactly?,neutral
dentist,Food particles and bacteria that have settled into the open socket.,neutral
patient,My exposed wound socket was collecting food debris. That is genuinely awful to hear.,disgust
dentist,Irrigating with saline now. You'll feel the pressure and taste the rinse.,neutral
patient,I can feel it. What's coming out?,neutral
dentist,A fair amount of debris. The socket is clearing.,neutral
patient,Good. Keep going. I want all of it gone.,neutral
dentist,All clear now. The socket looks much cleaner. Applying the medicated dressing.,neutral
patient,What's in the dressing?,neutral
dentist,Eugenol. clove oil derivative. combined with a local anesthetic agent. Very effective.,neutral
patient,I can smell the clove. It's so much better than what was there before.,neutral
dentist,Give it a few minutes and the pain should reduce significantly.,neutral
patient,It's already less sharp. That's remarkable.,neutral
dentist,The eugenol numbs the exposed nerve endings directly.,neutral
patient,Why didn't they warn me about straws at the original extraction?,neutral
dentist,They should have. Those instructions are critical and sometimes not communicated well.,neutral
patient,I wish they had. I feel terrible that I caused this by accident.,disgust
dentist,Dry socket is more common than people realize. You're not the first and won't be the last.,neutral
patient,Still. I think about what was sitting in that socket and I feel revolted.,disgust
dentist,The dressing will protect it now. I need you back every 48 hours for a change.,neutral
patient,Every 48 hours. Absolutely. How long until it heals?,neutral
dentist,With proper dressing changes one to two weeks.,neutral
patient,Two weeks is manageable if it doesn't smell like this.,neutral
dentist,The dressing will control both the pain and the odor significantly.,neutral
patient,Can I eat tonight?,neutral
dentist,Soft foods only. Nothing that can fall into the socket on the extraction side.,neutral
patient,I'll be so careful. I've learned my lesson about straws and eating habits.,neutral
dentist,Good. No straws no sucking motions no smoking for the entire healing period.,neutral
patient,Understood. The smell when I walked in here today was so embarrassing.,disgust
dentist,Please don't be. Dry socket is a complication not a personal failure.,neutral
patient,The relief I feel right now versus when I walked in is dramatic.,neutral
dentist,Good. Come back day after tomorrow for a dressing change.,neutral
patient,I'll be here. Thank you for fitting me in so quickly.,neutral
dentist,Dry socket is always urgent. Take care. Call if swelling increases.,neutral
patient,Hello. I'm bringing my daughter in. She's nine and her teacher noticed black spots on her teeth.,neutral
dentist,Hello. I'm glad the teacher flagged it. Has your daughter mentioned any pain?,neutral
patient,Sometimes when she eats candy. I assumed kids just complained about dental visits.,neutral
dentist,Black spots at her age usually mean significant decay. Let me examine her.,neutral
patient,I look at her teeth now and I feel sick with guilt. Those black spots look awful.,disgust
dentist,Hello sweetheart. Can you open wide for me so I can count your teeth?,neutral
patient,She's shy. But she'll cooperate.,neutral
dentist,I can see extensive decay across multiple teeth. The upper molars are particularly severe.,neutral
patient,Multiple teeth. I thought she was brushing. How did it get this bad?,disgust
dentist,How often does she drink juice or eat sweets?,neutral
patient,Daily juice boxes. She loves them. I didn't know they were causing this.,neutral
dentist,Frequent sugar and acid exposure is the main driver. Every sip of juice feeds the bacteria.,neutral
patient,I've been giving her juice every day thinking it was healthy. All while this decay was building.,disgust
dentist,Let me take X-rays to see the full picture including baby teeth that are more hidden.,neutral
patient,Yes. I want to see everything. I feel disgusted at myself for missing this.,disgust
dentist,The X-rays show seven teeth with decay. Three are severe enough to need pulp treatment.,neutral
patient,Seven teeth. She's nine years old. Three needing pulp treatment. I feel physically ill.,disgust
dentist,I want to reassure you. all of these are treatable. She's going to be fine.,neutral
patient,She's fine but the state of her teeth right now is because of my negligence.,disgust
dentist,It's more about information than negligence. Many parents don't know juice is as damaging as soda.,neutral
patient,I would never have given her soda. I thought juice was vitamins and health. How wrong I was.,disgust
dentist,Now you know. Let's focus on what we do from here.,neutral
patient,Yes. What's the treatment plan for her?,neutral
dentist,Three pulp treatments on the worst teeth then fillings on the rest. Spread across three visits.,neutral
patient,Three visits to fix what I let happen. She's been sitting in class with rotting teeth and I didn't know.,disgust
dentist,Decay in children can progress quickly and quietly. This isn't unusual.,neutral
patient,Looking at those black molars in the X-ray makes me feel terrible.,disgust
dentist,Is she anxious about dental treatment?,neutral
patient,She's nervous but she's trying to be brave.,neutral
dentist,Can we start with the least severe tooth today to build her confidence?,neutral
patient,Yes. Please go gently. She doesn't know how extensive it is.,neutral
dentist,We'll keep everything calm and positive. Using numbing gel first before any injection.,neutral
patient,She's watching me for cues. I'm trying to stay calm for her but inside I'm horrified at this situation.,disgust
dentist,She's doing really well. You're doing well too.,neutral
patient,I keep looking at the X-ray of her teeth and feeling revolted at how much damage is there.,disgust
dentist,I know it's hard to look at. But they're baby teeth and her permanent teeth are protected underneath.,neutral
patient,That's something at least.,neutral
dentist,Anesthetic is working. She can't feel anything on this side.,neutral
patient,She's relaxed. Good.,neutral
dentist,Starting the decay removal on the first molar. She's doing great.,neutral
patient,Can I ask. the pulp treatment she needs. Is that like a baby root canal?,neutral
dentist,Yes. We remove infected pulp tissue from the baby tooth and seal it. Painless and routine.,neutral
patient,My nine-year-old needs three root canals because of juice boxes. I can't shake how disgusting that feels.,disgust
dentist,Redirect that feeling. You're here you're fixing it and she won't remember these teeth.,neutral
patient,You're right. She won't remember. The permanent teeth will be healthy if I change the habits now.,neutral
dentist,Exactly. First tooth is done. She handled it perfectly.,neutral
patient,She's so brave. Much braver than me right now.,neutral
dentist,You're doing everything right today. Book the next two visits before you leave.,neutral
patient,Of course. And no more juice. I'll read everything I feed her from now on.,neutral
dentist,Not no juice forever. but limited at meals only. No sippy cups throughout the day.,neutral
patient,Meals only. I understand. What else can I do at home?,neutral
dentist,Supervised brushing twice daily. Flossing her back teeth. And fluoride toothpaste.,neutral
patient,I'll supervise every brush. I'm not leaving her oral health to chance again.,neutral
dentist,Good. She's going to grow up with a healthy smile.,neutral
patient,Thank you for not making me feel worse than I already do.,neutral
dentist,You care deeply about her. That's obvious. See you next week.,neutral
patient,I need to see you urgently. My implant area has been oozing something yellow for three days.,disgust
dentist,That's definitely urgent. Come in right away. Which implant?,neutral
patient,Upper right. I had it placed two years ago. Now there's this disgusting discharge from the gum around it.,disgust
dentist,That sounds like peri-implantitis. infection around the implant. Open wide.,neutral
patient,There's pus coming from my gum around a titanium screw in my jaw. I can't believe this is happening.,disgust
dentist,I can see significant inflammation around the implant and clear discharge on probing.,neutral
patient,I keep pressing on the gum to check and this yellowish stuff comes out. It's revolting.,disgust
dentist,Please stop pressing on it. That spreads the bacteria. Let me take an X-ray.,neutral
patient,I couldn't help it. Every time I pressed I felt disgusted but I kept doing it.,disgust
dentist,The X-ray shows bone loss around the implant post. About 2mm so far.,neutral
patient,Two millimetres of bone around the implant has dissolved because of infection.,neutral
dentist,At this stage it's still very manageable. We can debride the implant surface and treat the pocket.,neutral
patient,How did this happen? I paid three thousand dollars for that implant.,neutral
dentist,Peri-implantitis happens when bacteria colonize the implant surface below the gum line.,neutral
patient,Bacteria are eating the bone around my jaw implant and producing pus. This is a nightmare.,disgust
dentist,I understand. How have you been cleaning around the implant at home?,neutral
patient,With a regular toothbrush. I didn't know I needed anything special.,neutral
dentist,Implants need interdental brushes and possibly a water flosser. A regular brush misses the base.,neutral
patient,So pus-producing infection developed because nobody told me how to clean my implant properly.,disgust
dentist,That's a communication failure at discharge. Let's fix the current situation first.,neutral
patient,What does the treatment involve?,neutral
dentist,I'll clean the implant surface mechanically irrigate the infected pocket with antiseptic and prescribe antibiotics.,neutral
patient,Will the implant survive?,neutral
dentist,Caught at 2mm bone loss we have a good prognosis. Lost implants usually have 4mm or more.,neutral
patient,At least I came in before it got worse. But knowing pus has been coming from my jaw implant.,disgust
dentist,Let's administer anesthetic and get the site cleaned.,neutral
patient,Do it. Just get rid of whatever is in there.,neutral
dentist,Anesthetic in. Give it two minutes.,neutral
patient,I keep having this image of bacteria growing in a spiral around the implant post and it's making me feel ill.,disgust
dentist,That mental image is roughly anatomically accurate. The bacteria form a biofilm on the implant threads.,neutral
patient,Biofilm on the implant threads. Growing. Producing that discharge. Dissolving bone.,disgust
dentist,Now we're removing every trace of it. Starting the debridement.,neutral
patient,I can feel pressure. Is it working?,neutral
dentist,Yes. The surface is clearing. The biofilm is being disrupted.,neutral
patient,What does the biofilm look like?,neutral
dentist,Thin whitish film on the titanium threads. Looks innocuous but causes significant damage.,neutral
patient,Something that thin caused all this bone loss and pus. Incredible.,disgust
dentist,Bacteria are remarkably destructive in the right conditions.,neutral
patient,Irrigating the pocket now with chlorhexidine.,neutral
dentist,I see.,neutral
patient,I can taste the antiseptic.,neutral
dentist,Good. The pocket is flushing clear. Surface looks clean.,neutral
