utterance,emotion,clean_text,tokens
Hard and fast. I always assumed harder was cleaner.,neutral,hard and fast i always assumed harder was cleaner,"['hard', 'and', 'fast', 'i', 'always', 'assumed', 'harder', 'was', 'cleaner']"
I've been scrubbing my own gums away for three years. I did this to myself.,disgust,ive been scrubbing my own gums away for three years i did this to myself,"['ive', 'been', 'scrubbing', 'my', 'own', 'gums', 'away', 'for', 'three', 'years', 'i', 'did', 'this', 'to', 'myself']"
And there are more factors?,neutral,and there are more factors,"['and', 'there', 'are', 'more', 'factors']"
Looking at my gumline now knowing I caused this by brushing too hard makes me feel revolted.,disgust,looking at my gumline now knowing i caused this by brushing too hard makes me feel revolted,"['looking', 'at', 'my', 'gumline', 'now', 'knowing', 'i', 'caused', 'this', 'by', 'brushing', 'too', 'hard', 'makes', 'me', 'feel', 'revolted']"
Still. The roots look awful. Is it reversible?,neutral,still the roots look awful is it reversible,"['still', 'the', 'roots', 'look', 'awful', 'is', 'it', 'reversible']"
A graft. From where?,neutral,a graft from where,"['a', 'graft', 'from', 'where']"
Taking tissue from the roof of my mouth to patch my gums. That sounds intense.,neutral,taking tissue from the roof of my mouth to patch my gums that sounds intense,"['taking', 'tissue', 'from', 'the', 'roof', 'of', 'my', 'mouth', 'to', 'patch', 'my', 'gums', 'that', 'sounds', 'intense']"
And if I don't do the graft?,neutral,and if i dont do the graft,"['and', 'if', 'i', 'dont', 'do', 'the', 'graft']"
Higher cavity risk on exposed roots. So the recession caused by bad brushing can lead to cavities.,disgust,higher cavity risk on exposed roots so the recession caused by bad brushing can lead to cavities,"['higher', 'cavity', 'risk', 'on', 'exposed', 'roots', 'so', 'the', 'recession', 'caused', 'by', 'bad', 'brushing', 'can', 'lead', 'to', 'cavities']"
I need to just fix everything then. When can we do the graft?,neutral,i need to just fix everything then when can we do the graft,"['i', 'need', 'to', 'just', 'fix', 'everything', 'then', 'when', 'can', 'we', 'do', 'the', 'graft']"
Yes. Show me the right way.,neutral,yes show me the right way,"['yes', 'show', 'me', 'the', 'right', 'way']"
I've been doing the opposite of that.,neutral,ive been doing the opposite of that,"['ive', 'been', 'doing', 'the', 'opposite', 'of', 'that']"
I see. That feels like barely touching the teeth compared to what I was doing.,neutral,i see that feels like barely touching the teeth compared to what i was doing,"['i', 'see', 'that', 'feels', 'like', 'barely', 'touching', 'the', 'teeth', 'compared', 'to', 'what', 'i', 'was', 'doing']"
I keep looking at the recession and picturing what it must look like to other people. I find it revolting.,disgust,i keep looking at the recession and picturing what it must look like to other people i find it revolting,"['i', 'keep', 'looking', 'at', 'the', 'recession', 'and', 'picturing', 'what', 'it', 'must', 'look', 'like', 'to', 'other', 'people', 'i', 'find', 'it', 'revolting']"
My partner mentioned it once. Said my teeth look 'longer' lately. That was about a year ago.,disgust,my partner mentioned it once said my teeth look longer lately that was about a year ago,"['my', 'partner', 'mentioned', 'it', 'once', 'said', 'my', 'teeth', 'look', 'longer', 'lately', 'that', 'was', 'about', 'a', 'year', 'ago']"
I want to schedule it as soon as possible.,neutral,i want to schedule it as soon as possible,"['i', 'want', 'to', 'schedule', 'it', 'as', 'soon', 'as', 'possible']"
Two weeks. I can live with that. Any special care until then?,neutral,two weeks i can live with that any special care until then,"['two', 'weeks', 'i', 'can', 'live', 'with', 'that', 'any', 'special', 'care', 'until', 'then']"
Starting tonight. Genuinely tonight.,neutral,starting tonight genuinely tonight,"['starting', 'tonight', 'genuinely', 'tonight']"
They are already sensitive. I assumed that was just how it was.,neutral,they are already sensitive i assumed that was just how it was,"['they', 'are', 'already', 'sensitive', 'i', 'assumed', 'that', 'was', 'just', 'how', 'it', 'was']"
So the graft fixes the appearance and the sensitivity?,neutral,so the graft fixes the appearance and the sensitivity,"['so', 'the', 'graft', 'fixes', 'the', 'appearance', 'and', 'the', 'sensitivity']"
Three problems solved in one procedure. Why didn't I come in sooner?,neutral,three problems solved in one procedure why didnt i come in sooner,"['three', 'problems', 'solved', 'in', 'one', 'procedure', 'why', 'didnt', 'i', 'come', 'in', 'sooner']"
Thank you. I feel better now that there's a clear plan.,neutral,thank you i feel better now that theres a clear plan,"['thank', 'you', 'i', 'feel', 'better', 'now', 'that', 'theres', 'a', 'clear', 'plan']"
I will. And I'm throwing away my medium-hard brush tonight.,neutral,i will and im throwing away my mediumhard brush tonight,"['i', 'will', 'and', 'im', 'throwing', 'away', 'my', 'mediumhard', 'brush', 'tonight']"
Hi. Just my six-month check-up. No real problems to report.,neutral,hi just my sixmonth checkup no real problems to report,"['hi', 'just', 'my', 'sixmonth', 'checkup', 'no', 'real', 'problems', 'to', 'report']"
I've been pretty good about brushing and flossing. I feel confident this time.,neutral,ive been pretty good about brushing and flossing i feel confident this time,"['ive', 'been', 'pretty', 'good', 'about', 'brushing', 'and', 'flossing', 'i', 'feel', 'confident', 'this', 'time']"
Go for it.,neutral,go for it,"['go', 'for', 'it']"
I floss so that should be fine too.,neutral,i floss so that should be fine too,"['i', 'floss', 'so', 'that', 'should', 'be', 'fine', 'too']"
Sub-gingival meaning below the gum? How did it get there if I floss?,neutral,subgingival meaning below the gum how did it get there if i floss,"['subgingival', 'meaning', 'below', 'the', 'gum', 'how', 'did', 'it', 'get', 'there', 'if', 'i', 'floss']"
There's hardened bacteria sitting below my gumline right now even though I floss daily.,disgust,theres hardened bacteria sitting below my gumline right now even though i floss daily,"['theres', 'hardened', 'bacteria', 'sitting', 'below', 'my', 'gumline', 'right', 'now', 'even', 'though', 'i', 'floss', 'daily']"
Can I feel it with my tongue?,neutral,can i feel it with my tongue,"['can', 'i', 'feel', 'it', 'with', 'my', 'tongue']"
Hidden hardened bacteria below my gums. I find that really unsettling.,disgust,hidden hardened bacteria below my gums i find that really unsettling,"['hidden', 'hardened', 'bacteria', 'below', 'my', 'gums', 'i', 'find', 'that', 'really', 'unsettling']"
Of course.,neutral,of course,"['of', 'course']"
Two cavities despite daily flossing. I feel like I can't win.,disgust,two cavities despite daily flossing i feel like i cant win,"['two', 'cavities', 'despite', 'daily', 'flossing', 'i', 'feel', 'like', 'i', 'cant', 'win']"
So there are bacterial colonies growing between my teeth in a gap my floss couldn't reach.,disgust,so there are bacterial colonies growing between my teeth in a gap my floss couldnt reach,"['so', 'there', 'are', 'bacterial', 'colonies', 'growing', 'between', 'my', 'teeth', 'in', 'a', 'gap', 'my', 'floss', 'couldnt', 'reach']"
Remineralize? The cavity can reverse?,neutral,remineralize the cavity can reverse,"['remineralize', 'the', 'cavity', 'can', 'reverse']"
Three months and we see if they reversed. I can live with that.,neutral,three months and we see if they reversed i can live with that,"['three', 'months', 'and', 'we', 'see', 'if', 'they', 'reversed', 'i', 'can', 'live', 'with', 'that']"
I want everything removed. The idea of hardened material below my gumline bothers me deeply.,disgust,i want everything removed the idea of hardened material below my gumline bothers me deeply,"['i', 'want', 'everything', 'removed', 'the', 'idea', 'of', 'hardened', 'material', 'below', 'my', 'gumline', 'bothers', 'me', 'deeply']"
Will I feel it?,neutral,will i feel it,"['will', 'i', 'feel', 'it']"
Okay. Go ahead.,neutral,okay go ahead,"['okay', 'go', 'ahead']"
I can feel it. It's strange to think of material down there being broken up.,neutral,i can feel it its strange to think of material down there being broken up,"['i', 'can', 'feel', 'it', 'its', 'strange', 'to', 'think', 'of', 'material', 'down', 'there', 'being', 'broken', 'up']"
How much calculus is there?,neutral,how much calculus is there,"['how', 'much', 'calculus', 'is', 'there']"
Better than average and I still have calculus below the gumline. Bodies are infuriating.,disgust,better than average and i still have calculus below the gumline bodies are infuriating,"['better', 'than', 'average', 'and', 'i', 'still', 'have', 'calculus', 'below', 'the', 'gumline', 'bodies', 'are', 'infuriating']"
So my saliva itself contributes to hardened bacteria forming.,disgust,so my saliva itself contributes to hardened bacteria forming,"['so', 'my', 'saliva', 'itself', 'contributes', 'to', 'hardened', 'bacteria', 'forming']"
Every three months instead of six?,neutral,every three months instead of six,"['every', 'three', 'months', 'instead', 'of', 'six']"
Fine. Four times a year. I'll adjust.,neutral,fine four times a year ill adjust,"['fine', 'four', 'times', 'a', 'year', 'ill', 'adjust']"
What does the calculus look like when it comes off?,neutral,what does the calculus look like when it comes off,"['what', 'does', 'the', 'calculus', 'look', 'like', 'when', 'it', 'comes', 'off']"
Chalky fragments of mineralized bacteria. Below my own gumline.,disgust,chalky fragments of mineralized bacteria below my own gumline,"['chalky', 'fragments', 'of', 'mineralized', 'bacteria', 'below', 'my', 'own', 'gumline']"
I know. It just bothers me that it was there at all.,neutral,i know it just bothers me that it was there at all,"['i', 'know', 'it', 'just', 'bothers', 'me', 'that', 'it', 'was', 'there', 'at', 'all']"
Okay. It has a strong taste.,neutral,okay it has a strong taste,"['okay', 'it', 'has', 'a', 'strong', 'taste']"
I won't. So three months and we'll know if the cavities are reversing?,neutral,i wont so three months and well know if the cavities are reversing,"['i', 'wont', 'so', 'three', 'months', 'and', 'well', 'know', 'if', 'the', 'cavities', 'are', 'reversing']"
I hope they reverse. The idea of avoidable drilling because my floss missed a spot is frustrating.,disgust,i hope they reverse the idea of avoidable drilling because my floss missed a spot is frustrating,"['i', 'hope', 'they', 'reverse', 'the', 'idea', 'of', 'avoidable', 'drilling', 'because', 'my', 'floss', 'missed', 'a', 'spot', 'is', 'frustrating']"
Right. Two things fixable. One by today's cleaning.,neutral,right two things fixable one by todays cleaning,"['right', 'two', 'things', 'fixable', 'one', 'by', 'todays', 'cleaning']"
Okay. So three-month recall from today?,neutral,okay so threemonth recall from today,"['okay', 'so', 'threemonth', 'recall', 'from', 'today']"
Water flosser. I'll buy one today.,neutral,water flosser ill buy one today,"['water', 'flosser', 'ill', 'buy', 'one', 'today']"
See you then. Thank you for being thorough as always.,neutral,see you then thank you for being thorough as always,"['see', 'you', 'then', 'thank', 'you', 'for', 'being', 'thorough', 'as', 'always']"
My daughter made me come in. She said my breath was very bad and my mouth looks wrong.,disgust,my daughter made me come in she said my breath was very bad and my mouth looks wrong,"['my', 'daughter', 'made', 'me', 'come', 'in', 'she', 'said', 'my', 'breath', 'was', 'very', 'bad', 'and', 'my', 'mouth', 'looks', 'wrong']"
Months. I don't really notice it anymore. But she was horrified apparently.,disgust,months i dont really notice it anymore but she was horrified apparently,"['months', 'i', 'dont', 'really', 'notice', 'it', 'anymore', 'but', 'she', 'was', 'horrified', 'apparently']"
Full upper and partial lower. Had them about ten years.,neutral,full upper and partial lower had them about ten years,"['full', 'upper', 'and', 'partial', 'lower', 'had', 'them', 'about', 'ten', 'years']"
Before my wife passed. That was three years ago.,neutral,before my wife passed that was three years ago,"['before', 'my', 'wife', 'passed', 'that', 'was', 'three', 'years', 'ago']"
I know it's bad. I can feel that something isn't right in there.,neutral,i know its bad i can feel that something isnt right in there,"['i', 'know', 'its', 'bad', 'i', 'can', 'feel', 'that', 'something', 'isnt', 'right', 'in', 'there']"
White patches. Is that infection?,neutral,white patches is that infection,"['white', 'patches', 'is', 'that', 'infection']"
My dentures are growing fungus. And I've been putting them in every morning.,disgust,my dentures are growing fungus and ive been putting them in every morning,"['my', 'dentures', 'are', 'growing', 'fungus', 'and', 'ive', 'been', 'putting', 'them', 'in', 'every', 'morning']"
I rinse them. Sometimes I don't bother. Since my wife passed I haven't been keeping up.,neutral,i rinse them sometimes i dont bother since my wife passed i havent been keeping up,"['i', 'rinse', 'them', 'sometimes', 'i', 'dont', 'bother', 'since', 'my', 'wife', 'passed', 'i', 'havent', 'been', 'keeping', 'up']"
She kept everything in order. Now I just get through the day.,neutral,she kept everything in order now i just get through the day,"['she', 'kept', 'everything', 'in', 'order', 'now', 'i', 'just', 'get', 'through', 'the', 'day']"
Here. I know they look terrible.,neutral,here i know they look terrible,"['here', 'i', 'know', 'they', 'look', 'terrible']"
That slime on the dentures is what's causing the infection in my mouth.,disgust,that slime on the dentures is whats causing the infection in my mouth,"['that', 'slime', 'on', 'the', 'dentures', 'is', 'whats', 'causing', 'the', 'infection', 'in', 'my', 'mouth']"
I've been reinfecting myself every day for months. That's revolting.,disgust,ive been reinfecting myself every day for months thats revolting,"['ive', 'been', 'reinfecting', 'myself', 'every', 'day', 'for', 'months', 'thats', 'revolting']"
Fungal infection producing bad breath. She said it was quite bad.,disgust,fungal infection producing bad breath she said it was quite bad,"['fungal', 'infection', 'producing', 'bad', 'breath', 'she', 'said', 'it', 'was', 'quite', 'bad']"
Yes. It hurts sometimes under the upper denture.,neutral,yes it hurts sometimes under the upper denture,"['yes', 'it', 'hurts', 'sometimes', 'under', 'the', 'upper', 'denture']"
Open sores under my denture. I've been sitting on those for how long?,disgust,open sores under my denture ive been sitting on those for how long,"['open', 'sores', 'under', 'my', 'denture', 'ive', 'been', 'sitting', 'on', 'those', 'for', 'how', 'long']"
How do you treat mouth ulcers caused by a bad-fitting denture?,neutral,how do you treat mouth ulcers caused by a badfitting denture,"['how', 'do', 'you', 'treat', 'mouth', 'ulcers', 'caused', 'by', 'a', 'badfitting', 'denture']"
Leave it out. My daughter doesn't want me looking like an old man without teeth.,neutral,leave it out my daughter doesnt want me looking like an old man without teeth,"['leave', 'it', 'out', 'my', 'daughter', 'doesnt', 'want', 'me', 'looking', 'like', 'an', 'old', 'man', 'without', 'teeth']"
I understand. I'll leave it out at night and around the house.,neutral,i understand ill leave it out at night and around the house,"['i', 'understand', 'ill', 'leave', 'it', 'out', 'at', 'night', 'and', 'around', 'the', 'house']"
While it soaks. what does the thrush look like to you?,neutral,while it soaks what does the thrush look like to you,"['while', 'it', 'soaks', 'what', 'does', 'the', 'thrush', 'look', 'like', 'to', 'you']"
Most of my mouth coated in fungal infection because I stopped caring for myself after she died.,disgust,most of my mouth coated in fungal infection because i stopped caring for myself after she died,"['most', 'of', 'my', 'mouth', 'coated', 'in', 'fungal', 'infection', 'because', 'i', 'stopped', 'caring', 'for', 'myself', 'after', 'she', 'died']"
It feels like I failed. She would be horrified to see the state of my mouth.,disgust,it feels like i failed she would be horrified to see the state of my mouth,"['it', 'feels', 'like', 'i', 'failed', 'she', 'would', 'be', 'horrified', 'to', 'see', 'the', 'state', 'of', 'my', 'mouth']"
Yes. I suppose I am.,neutral,yes i suppose i am,"['yes', 'i', 'suppose', 'i', 'am']"
Not really. Cooking for one feels pointless. I eat soft things mostly.,neutral,not really cooking for one feels pointless i eat soft things mostly,"['not', 'really', 'cooking', 'for', 'one', 'feels', 'pointless', 'i', 'eat', 'soft', 'things', 'mostly']"
Everything connects. Grief leading to poor eating leading to a weak immune system leading to fungal infection.,neutral,everything connects grief leading to poor eating leading to a weak immune system leading to fungal infection,"['everything', 'connects', 'grief', 'leading', 'to', 'poor', 'eating', 'leading', 'to', 'a', 'weak', 'immune', 'system', 'leading', 'to', 'fungal', 'infection']"
I didn't realize how far I'd let myself go until my daughter said something.,neutral,i didnt realize how far id let myself go until my daughter said something,"['i', 'didnt', 'realize', 'how', 'far', 'id', 'let', 'myself', 'go', 'until', 'my', 'daughter', 'said', 'something']"
She drove four hours. I didn't deserve that.,neutral,she drove four hours i didnt deserve that,"['she', 'drove', 'four', 'hours', 'i', 'didnt', 'deserve', 'that']"
Will it sting?,neutral,will it sting,"['will', 'it', 'sting']"
Okay. Go ahead.,neutral,okay go ahead,"['okay', 'go', 'ahead']"
I can taste it. It's strong.,neutral,i can taste it its strong,"['i', 'can', 'taste', 'it', 'its', 'strong']"
Four times daily. I can manage that.,neutral,four times daily i can manage that,"['four', 'times', 'daily', 'i', 'can', 'manage', 'that']"
And the denture cleaning?,neutral,and the denture cleaning,"['and', 'the', 'denture', 'cleaning']"
My wife had a routine for it. I should have continued it.,neutral,my wife had a routine for it i should have continued it,"['my', 'wife', 'had', 'a', 'routine', 'for', 'it', 'i', 'should', 'have', 'continued', 'it']"
I will. My daughter is waiting outside. She'll help me get organized.,neutral,i will my daughter is waiting outside shell help me get organized,"['i', 'will', 'my', 'daughter', 'is', 'waiting', 'outside', 'shell', 'help', 'me', 'get', 'organized']"
Two weeks. She'll bring me. I'm going to do better by myself.,neutral,two weeks shell bring me im going to do better by myself,"['two', 'weeks', 'shell', 'bring', 'me', 'im', 'going', 'to', 'do', 'better', 'by', 'myself']"
Hi. I'm here because someone at school said my breath was horrible. It was so embarrassing.,disgust,hi im here because someone at school said my breath was horrible it was so embarrassing,"['hi', 'im', 'here', 'because', 'someone', 'at', 'school', 'said', 'my', 'breath', 'was', 'horrible', 'it', 'was', 'so', 'embarrassing']"
I brushed twice this morning before coming. But I know my teeth aren't great.,neutral,i brushed twice this morning before coming but i know my teeth arent great,"['i', 'brushed', 'twice', 'this', 'morning', 'before', 'coming', 'but', 'i', 'know', 'my', 'teeth', 'arent', 'great']"
I hate people seeing my teeth. They look disgusting even to me.,disgust,i hate people seeing my teeth they look disgusting even to me,"['i', 'hate', 'people', 'seeing', 'my', 'teeth', 'they', 'look', 'disgusting', 'even', 'to', 'me']"
How many cavities?,neutral,how many cavities,"['how', 'many', 'cavities']"
Four cavities. That's disgusting. I thought brushing twice a day was enough.,disgust,four cavities thats disgusting i thought brushing twice a day was enough,"['four', 'cavities', 'thats', 'disgusting', 'i', 'thought', 'brushing', 'twice', 'a', 'day', 'was', 'enough']"
No. I keep meaning to but I never do.,neutral,no i keep meaning to but i never do,"['no', 'i', 'keep', 'meaning', 'to', 'but', 'i', 'never', 'do']"
The smell was so bad the person who said something looked genuinely revolted. That expression on their face.,disgust,the smell was so bad the person who said something looked genuinely revolted that expression on their face,"['the', 'smell', 'was', 'so', 'bad', 'the', 'person', 'who', 'said', 'something', 'looked', 'genuinely', 'revolted', 'that', 'expression', 'on', 'their', 'face']"
I wanted to disappear. I walked out of class and almost came here directly.,neutral,i wanted to disappear i walked out of class and almost came here directly,"['i', 'wanted', 'to', 'disappear', 'i', 'walked', 'out', 'of', 'class', 'and', 'almost', 'came', 'here', 'directly']"
I'm already dreading what you'll find.,neutral,im already dreading what youll find,"['im', 'already', 'dreading', 'what', 'youll', 'find']"
Six. I'm seventeen. Six cavities at seventeen. That's revolting and I'm ashamed.,disgust,six im seventeen six cavities at seventeen thats revolting and im ashamed,"['six', 'im', 'seventeen', 'six', 'cavities', 'at', 'seventeen', 'thats', 'revolting', 'and', 'im', 'ashamed']"
My parents are going to be upset. They think I brush properly.,neutral,my parents are going to be upset they think i brush properly,"['my', 'parents', 'are', 'going', 'to', 'be', 'upset', 'they', 'think', 'i', 'brush', 'properly']"
I drink energy drinks. Usually two a day. And a lot of sweets.,neutral,i drink energy drinks usually two a day and a lot of sweets,"['i', 'drink', 'energy', 'drinks', 'usually', 'two', 'a', 'day', 'and', 'a', 'lot', 'of', 'sweets']"
I drink them to stay awake in class. I had no idea they were doing this.,disgust,i drink them to stay awake in class i had no idea they were doing this,"['i', 'drink', 'them', 'to', 'stay', 'awake', 'in', 'class', 'i', 'had', 'no', 'idea', 'they', 'were', 'doing', 'this']"
Two energy drinks a day plus no flossing equals six cavities and a bad breath complaint at school.,disgust,two energy drinks a day plus no flossing equals six cavities and a bad breath complaint at school,"['two', 'energy', 'drinks', 'a', 'day', 'plus', 'no', 'flossing', 'equals', 'six', 'cavities', 'and', 'a', 'bad', 'breath', 'complaint', 'at', 'school']"
The gum thing. my gums bleed when I touch them. Is that bad?,neutral,the gum thing my gums bleed when i touch them is that bad,"['the', 'gum', 'thing', 'my', 'gums', 'bleed', 'when', 'i', 'touch', 'them', 'is', 'that', 'bad']"
So inflamed bleeding gums and six cavities and bad breath. I'm a dental disaster.,disgust,so inflamed bleeding gums and six cavities and bad breath im a dental disaster,"['so', 'inflamed', 'bleeding', 'gums', 'and', 'six', 'cavities', 'and', 'bad', 'breath', 'im', 'a', 'dental', 'disaster']"
I keep thinking about that person's face when they mentioned the smell. I can't stop seeing it.,disgust,i keep thinking about that persons face when they mentioned the smell i cant stop seeing it,"['i', 'keep', 'thinking', 'about', 'that', 'persons', 'face', 'when', 'they', 'mentioned', 'the', 'smell', 'i', 'cant', 'stop', 'seeing', 'it']"
Okay. What do we do?,neutral,okay what do we do,"['okay', 'what', 'do', 'we', 'do']"
Start the cleaning. I want the plaque gone right now.,neutral,start the cleaning i want the plaque gone right now,"['start', 'the', 'cleaning', 'i', 'want', 'the', 'plaque', 'gone', 'right', 'now']"
The smell coming off as it removes the plaque. I can already smell it.,disgust,the smell coming off as it removes the plaque i can already smell it,"['the', 'smell', 'coming', 'off', 'as', 'it', 'removes', 'the', 'plaque', 'i', 'can', 'already', 'smell', 'it']"
My own mouth was producing that smell every time I spoke to someone.,disgust,my own mouth was producing that smell every time i spoke to someone,"['my', 'own', 'mouth', 'was', 'producing', 'that', 'smell', 'every', 'time', 'i', 'spoke', 'to', 'someone']"
I'm going to floss every night. I swear it.,neutral,im going to floss every night i swear it,"['im', 'going', 'to', 'floss', 'every', 'night', 'i', 'swear', 'it']"
When will my breath actually be clean? Like truly clean?,neutral,when will my breath actually be clean like truly clean,"['when', 'will', 'my', 'breath', 'actually', 'be', 'clean', 'like', 'truly', 'clean']"
Forty-eight hours. I can survive school for two more days.,neutral,fortyeight hours i can survive school for two more days,"['fortyeight', 'hours', 'i', 'can', 'survive', 'school', 'for', 'two', 'more', 'days']"
And energy drinks?,neutral,and energy drinks,"['and', 'energy', 'drinks']"
I'll switch to coffee. At least that's less acidic than four ingredients of acid and sugar.,neutral,ill switch to coffee at least thats less acidic than four ingredients of acid and sugar,"['ill', 'switch', 'to', 'coffee', 'at', 'least', 'thats', 'less', 'acidic', 'than', 'four', 'ingredients', 'of', 'acid', 'and', 'sugar']"
My gums look less red already. And my teeth look cleaner.,neutral,my gums look less red already and my teeth look cleaner,"['my', 'gums', 'look', 'less', 'red', 'already', 'and', 'my', 'teeth', 'look', 'cleaner']"
Let's do two sessions. I want this sorted as fast as possible.,neutral,lets do two sessions i want this sorted as fast as possible,"['lets', 'do', 'two', 'sessions', 'i', 'want', 'this', 'sorted', 'as', 'fast', 'as', 'possible']"
Show me everything. I never want that experience at school again.,disgust,show me everything i never want that experience at school again,"['show', 'me', 'everything', 'i', 'never', 'want', 'that', 'experience', 'at', 'school', 'again']"
Got it. Every night. No excuses.,neutral,got it every night no excuses,"['got', 'it', 'every', 'night', 'no', 'excuses']"
I'll be here. Thank you for not making me feel worse than I already did.,neutral,ill be here thank you for not making me feel worse than i already did,"['ill', 'be', 'here', 'thank', 'you', 'for', 'not', 'making', 'me', 'feel', 'worse', 'than', 'i', 'already', 'did']"
Hi doctor. I finished chemotherapy two months ago and my mouth still feels terrible. There are sores and a horrible taste.,disgust,hi doctor i finished chemotherapy two months ago and my mouth still feels terrible there are sores and a horrible taste,"['hi', 'doctor', 'i', 'finished', 'chemotherapy', 'two', 'months', 'ago', 'and', 'my', 'mouth', 'still', 'feels', 'terrible', 'there', 'are', 'sores', 'and', 'a', 'horrible', 'taste']"
The taste is the worst part. Everything tastes like chemicals and rot. It's disgusting.,disgust,the taste is the worst part everything tastes like chemicals and rot its disgusting,"['the', 'taste', 'is', 'the', 'worst', 'part', 'everything', 'tastes', 'like', 'chemicals', 'and', 'rot', 'its', 'disgusting']"
There are also white patches in places. And my gums look different to me.,neutral,there are also white patches in places and my gums look different to me,"['there', 'are', 'also', 'white', 'patches', 'in', 'places', 'and', 'my', 'gums', 'look', 'different', 'to', 'me']"
I look in the mirror and my own mouth looks diseased and alien to me.,disgust,i look in the mirror and my own mouth looks diseased and alien to me,"['i', 'look', 'in', 'the', 'mirror', 'and', 'my', 'own', 'mouth', 'looks', 'diseased', 'and', 'alien', 'to', 'me']"
It's still revolting to live in.,disgust,its still revolting to live in,"['its', 'still', 'revolting', 'to', 'live', 'in']"
Thrush on top of everything else.,neutral,thrush on top of everything else,"['thrush', 'on', 'top', 'of', 'everything', 'else']"
My immune system was suppressed for months and fungus took the opportunity to colonize my mouth.,disgust,my immune system was suppressed for months and fungus took the opportunity to colonize my mouth,"['my', 'immune', 'system', 'was', 'suppressed', 'for', 'months', 'and', 'fungus', 'took', 'the', 'opportunity', 'to', 'colonize', 'my', 'mouth']"
So I fought cancer and my mouth is now hosting a fungal invasion.,disgust,so i fought cancer and my mouth is now hosting a fungal invasion,"['so', 'i', 'fought', 'cancer', 'and', 'my', 'mouth', 'is', 'now', 'hosting', 'a', 'fungal', 'invasion']"
I had no idea chemo would affect my mouth this severely. I knew about nausea and hair loss.,neutral,i had no idea chemo would affect my mouth this severely i knew about nausea and hair loss,"['i', 'had', 'no', 'idea', 'chemo', 'would', 'affect', 'my', 'mouth', 'this', 'severely', 'i', 'knew', 'about', 'nausea', 'and', 'hair', 'loss']"
Eighty percent. And most of us weren't warned about it properly.,neutral,eighty percent and most of us werent warned about it properly,"['eighty', 'percent', 'and', 'most', 'of', 'us', 'werent', 'warned', 'about', 'it', 'properly']"
I've been noticing I feel thirsty all the time even after drinking water.,neutral,ive been noticing i feel thirsty all the time even after drinking water,"['ive', 'been', 'noticing', 'i', 'feel', 'thirsty', 'all', 'the', 'time', 'even', 'after', 'drinking', 'water']"
My salivary glands were damaged. No saliva means no protection against decay.,disgust,my salivary glands were damaged no saliva means no protection against decay,"['my', 'salivary', 'glands', 'were', 'damaged', 'no', 'saliva', 'means', 'no', 'protection', 'against', 'decay']"
Cancer treatment saved my life and in doing so it damaged my saliva glands and let my teeth start decaying. That's a horrifying trade-off.,disgust,cancer treatment saved my life and in doing so it damaged my saliva glands and let my teeth start decaying thats a horrifying tradeoff,"['cancer', 'treatment', 'saved', 'my', 'life', 'and', 'in', 'doing', 'so', 'it', 'damaged', 'my', 'saliva', 'glands', 'and', 'let', 'my', 'teeth', 'start', 'decaying', 'thats', 'a', 'horrifying', 'tradeoff']"
What's the treatment plan?,neutral,whats the treatment plan,"['whats', 'the', 'treatment', 'plan']"
Saliva substitute. Something to replace what my glands can't produce.,neutral,saliva substitute something to replace what my glands cant produce,"['saliva', 'substitute', 'something', 'to', 'replace', 'what', 'my', 'glands', 'cant', 'produce']"
I feel like my body was taken apart and reassembled imperfectly.,disgust,i feel like my body was taken apart and reassembled imperfectly,"['i', 'feel', 'like', 'my', 'body', 'was', 'taken', 'apart', 'and', 'reassembled', 'imperfectly']"
Two months post-treatment and my mouth still tastes wrong. When does it return to normal?,neutral,two months posttreatment and my mouth still tastes wrong when does it return to normal,"['two', 'months', 'posttreatment', 'and', 'my', 'mouth', 'still', 'tastes', 'wrong', 'when', 'does', 'it', 'return', 'to', 'normal']"
Every time I eat something that should taste good and it tastes like hospital corridors it bothers me.,disgust,every time i eat something that should taste good and it tastes like hospital corridors it bothers me,"['every', 'time', 'i', 'eat', 'something', 'that', 'should', 'taste', 'good', 'and', 'it', 'tastes', 'like', 'hospital', 'corridors', 'it', 'bothers', 'me']"
I lost twelve kilos during treatment partly because eating became so unpleasant.,neutral,i lost twelve kilos during treatment partly because eating became so unpleasant,"['i', 'lost', 'twelve', 'kilos', 'during', 'treatment', 'partly', 'because', 'eating', 'became', 'so', 'unpleasant']"
I'm looking forward to that day.,neutral,im looking forward to that day,"['im', 'looking', 'forward', 'to', 'that', 'day']"
Please. I want to protect whatever is still healthy.,neutral,please i want to protect whatever is still healthy,"['please', 'i', 'want', 'to', 'protect', 'whatever', 'is', 'still', 'healthy']"
Cold sensation.,neutral,cold sensation,"['cold', 'sensation']"
The white patches on my tongue. Will the antifungal clear all of them?,neutral,the white patches on my tongue will the antifungal clear all of them,"['the', 'white', 'patches', 'on', 'my', 'tongue', 'will', 'the', 'antifungal', 'clear', 'all', 'of', 'them']"
Good. I'm tired of seeing my tongue look infected every morning.,disgust,good im tired of seeing my tongue look infected every morning,"['good', 'im', 'tired', 'of', 'seeing', 'my', 'tongue', 'look', 'infected', 'every', 'morning']"
